,State,Year,Deaths,Pop,Percent
628,Texas,2004,1466,22394023,6.54639E-05
629,Texas,2005,1595,22778123,7.00233E-05
630,Texas,2006,1918,23359580,8.21076E-05
631,Texas,2007,1999,23831983,8.38789E-05
632,Texas,2008,1845,24309039,7.58977E-05
633,Texas,2009,2182,24801761,8.79776E-05
634,Texas,2010,2178,25145561,8.66157E-05
635,Texas,2011,2333,25654464,9.09393E-05
636,Texas,2012,2185,26089741,8.37494E-05
637,Texas,2013,2223,26500674,8.38847E-05
638,Texas,2014,2343,26979078,8.68451E-05
639,Texas,2015,2458,27469114,8.94823E-05
640,Arizona,1999,387,5023823,7.7033E-05
641,Arizona,2000,424,5130632,8.26409E-05
642,Arizona,2001,457,5273477,8.66601E-05
